datalen,pkglen,wxplain,rxplain,tpplain,wxenc,rxenc,tpenc
256,64,1296,1296,187.873,4146,4138,58.174
256,128,1049,1049,232.696,2644,2644,91.552
256,256,970,970,250.816,2626,2626,92.506
256,512,805,805,303.268,2044,2044,119.209
256,1024,1231,1231,197.410,2963,2963,82.015
256,1500,1815,1815,134.468,4001,4001,60.081
256,2048,1912,1912,126.838,4974,4974,48.637
256,4096,2278,2278,106.811,8115,8115,29.563
1024,64,4368,4368,223.159,15143,15112,63.896
1024,128,3178,3178,307.083,8803,8803,110.626
1024,256,2453,2453,397.682,6417,6417,151.634
1024,512,2401,2401,406.265,6058,6058,161.170
1024,1024,2439,2439,399.589,5901,5901,164.985
1024,1500,1947,1947,500.679,3993,3993,244.140
1024,2048,1857,1857,525.474,4990,4990,195.503
1024,4096,2324,2324,419.616,8081,8081,120.162
102400,64,409001,409003,238.418,1475004,1472603,65.803
102400,128,280890,280893,347.137,784986,782052,123.977
102400,256,198180,198182,492.095,545456,545455,178.337
102400,512,160418,160420,608.444,410995,410994,237.464
102400,1024,128273,128275,761.032,303195,303194,321.388
102400,1500,125285,125285,779.151,278527,278527,349.998
102400,2048,92329,92331,1057.624,251833,251834,387.191
102400,4096,57453,57456,1699.447,206592,206583,472.068
10240000,64,41051464,41113385,237.464,146881630,146581057,65.803
10240000,128,28413992,28476005,342.369,80097125,79963061,122.070
10240000,256,19636525,19636824,496.864,54602229,54602099,178.337
10240000,512,15989320,15989581,610.351,39487143,39487067,247.001
10240000,1024,12523684,12523918,779.151,30799187,30799004,316.619
10240000,1500,13306588,13306325,733.375,28141564,28141514,346.183
10240000,2048,9632736,9632987,1013.755,25676314,25676246,379.562
10240000,4096,6168663,6168928,1582.145,20726077,20592217,473.976
